title,subtitle,release_year,genre,duration,maturity_rating,IMDb_rating,rotten_tomatoes_rating,meta_critic_rating,indie_wire_rating,vudu_rating,letterboxd_rating,fandor_rating,film_affinity_rating,trakt_rating,apple_rating,class_movie_rating,ringos_rating,french_films_rating,original_film_rating,allmovie_rating,bluray_rating,movie_insider_rating,reelviews_rating,p_google_likes,box_office,release_date,directors,awards,film_series,producers,budget
Last Shift,R 2014 ‧ Horror/Thriller ‧ 1h 30m,2014,Horror/Thriller,1h 30m,R,5.8,100,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,NA,Director: Anthony DiBlasi,NA,NA,"Mary Lankford Poiley, Scott Poiley",NA
Addicted,R 2014 ‧ Thriller/Drama ‧ 1h 46m,2014,Thriller/Drama,1h 46m,R,5.1,7,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,"October 8, 2014 (USA)",Director: Bille Woodruff,NA,NA,Producer: Paul Hall,NA
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",PG 2014 ‧ Family/Comedy ‧ 1h 21m,2014,Family/Comedy,1h 21m,PG,6.2,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,100.7 million USD,"October 6, 2014 (USA)",Director: Miguel Arteta,NA,NA,NA,NA
Dracula Untold,PG-13 2014 ‧ Horror/Action ‧ 1h 32m,2014,Horror/Action,1h 32m,PG-13,6.3,25,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,217.1 million USD,"October 10, 2014 (USA)",Director: Gary Shore,NA,NA,NA,NA
The Judge,R 2014 ‧ Drama/Comedy-drama ‧ 2h 22m,2014,Drama/Comedy-drama,2h 22m,R,7.4,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,NA,91,NA,"October 10, 2014 (USA)",Director: David Dobkin,NA,NA,NA,NA
Whiplash,R 2014 ‧ Drama/Drama ‧ 1h 47m,2014,Drama/Drama,1h 47m,R,8.5,94,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,NA,NA,Director: Damien Chazelle,"Academy Award for Best Supporting Actor,",NA,NA,NA
You're Not You,R 2014 ‧ Drama ‧ 1h 44m,2014,Drama,1h 44m,R,7.3,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,NA,"October 10, 2014 (USA)",Director: George C. Wolfe,Bambi - International actress,NA,"Hilary Swank, Prince Azim of Brunei, Alison Greenspan, Molly Smith, Denise Di Novi",NA
Birdman or (The Unexpected Virtue of Ignorance),R 2014 ‧ Drama/Romance ‧ 2 hours,2014,Drama/Romance,2 hours,R,7.7,91,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,"October 17, 2014 (USA)",Director: Alejandro González Iñárritu,"Academy Award for Best Picture,",NA,NA,NA
The Book of Life,PG 2014 ‧ Family/Comedy ‧ 1h 35m,2014,Family/Comedy,1h 35m,PG,7.3,83,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,NA,"October 17, 2014 (USA)",Director: Jorge Gutierrez,NA,NA,"Guillermo del Toro, Brad Booker, Aaron Berger, Carina Schulze",NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Czar of Black Hollywood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Bayer Mack,NA,NA,Producer: Bayer Mack,NA
Dear White People,R 2014 ‧ Drama/Comedy ‧ 1h 48m,2014,Drama/Comedy,1h 48m,R,6.1,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,Director: Justin Simien,"Independent Spirit Award for Best First Screenplay, Gotham Independent Film Award for Breakthrough Actor",NA,"Justin Simien, Angel Lopez, Julia Lebedev, Ann Le, Lena Waithe, Effie T. Brown",NA
Fury,R 2014 ‧ War/Action ‧ 2h 15m,2014,War/Action,2h 15m,R,7.6,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,211.8 million USD,"October 15, 2014 (USA)",Director: David Ayer,NA,NA,NA,NA
Listen Up Philip,NA,NA,NA,NA,NA,6.3,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,Director: Alex Ross Perry,NA,NA,NA,NA
Nightcrawler,R 2014 ‧ Thriller/Crime ‧ 1h 57m,2014,Thriller/Crime,1h 57m,R,7.9,95,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,"October 31, 2014 (USA)",Director: Dan Gilroy,"Independent Spirit Award for Best First Feature,",NA,NA,NA
Pernicious,NA,NA,NA,NA,NA,4.6,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,"June 19, 2015 (USA)",Director: James Cullen Bressack,NA,NA,"Rachvin Narula, Daemon Hillin, Kulthep Narula",NA
Young Ones,R 2014 ‧ Sci-fi/Sci-fi ‧ 1h 40m,2014,Sci-fi/Sci-fi,1h 40m,R,5.9,49,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,"October 17, 2014 (USA)",Director: Jake Paltrow,NA,NA,"Jake Paltrow, Michael Auret, Tristan Lynch",NA
Laggies,R 2014 ‧ Romance/Drama ‧ 1h 40m,2014,Romance/Drama,1h 40m,R,6.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,1.8 million USD,"May 9, 2014 (USA)",Director: Lynn Shelton,NA,NA,"Raj Brinder Singh, Rosalie Swedlin, Craig Chapman, MORE",NA
Ouija,PG-13 2014 ‧ Horror/Thriller ‧ 1h 29m,2014,Horror/Thriller,1h 29m,PG-13,4.5,6,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,103.6 million USD,"October 24, 2014 (USA)",Director: Stiles White,NA,Ouija,NA,NA
A Merry Friggin’ Christmas,PG-13 2014 ‧ Comedy ‧ 1h 28m,2014,Comedy,1h 28m,PG-13,5.1,14,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,"November 7, 2014 (USA)",Director: Tristram Shapeero,NA,NA,"Jake Aust, Tom Rice, Anthony Russo, Joe Russo, Michael Flynn",NA
The Better Angels,PG 2014 ‧ Historical drama ‧ 1h 35m,2014,Historical drama,1h 35m,PG,6.1,45,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,Director: AJ Edwards,NA,NA,"Jake DeVito, Charley Beil, Nicolas Gonda, Terrence Malick",NA
Elsa & Fred,PG-13 2014 ‧ Romance/Comedy ‧ 1h 44m,2014,Romance/Comedy,1h 44m,PG-13,6.5,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,NA,Director: Michael Radford,NA,NA,"Nicolas Veinberg, Matthias Ehrenberg, José Levy, Ricardo Kleinbaum, Edward Saxon, Матиас Эренберг",NA
Jessabelle,PG-13 2014 ‧ Horror/Thriller ‧ 1h 30m,2014,Horror/Thriller,1h 30m,PG-13,5.4,28,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,"November 7, 2014 (USA)",Director: Kevin Greutert,NA,NA,"Jason Blum, Peter Principato, Paul Young",NA
The Peripheral,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: J.T. Seaton,NA,NA,Producer: Kristopher Brown,NA
Beside Still Waters,NA,NA,NA,NA,NA,6.5,62,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Director: Chris Lowell,NA,NA,"Chris Lowell, Mohit Narang, Jason Potash, Steven Gorel, Paul Finkel",NA
Beyond the Lights,PG-13 2014 ‧ Romance/Drama ‧ 1h 56m,2014,Romance/Drama,1h 56m,PG-13,6.9,83,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,14.6 million USD,"November 14, 2014 (USA)",Director: Gina Prince-Bythewood,NA,NA,"Reggie Rock Bythewood, Amar'e Stoudemire, Stephanie Allain, Ryan Kavanaugh",NA
Dumb and Dumber To,PG-13 2014 ‧ Comedy ‧ 1h 49m,2014,Comedy,1h 49m,PG-13,5.6,30,NA,NA,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,169.8 million USD,"November 14, 2014 (USA)","Peter Farrelly, Bobby Farrelly",NA,NA,NA,NA
Foxcatcher,R 2014 ‧ Sport/Drama ‧ 2h 14m,2014,Sport/Drama,2h 14m,R,7,87,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,NA,"January 16, 2015 (USA)",Director: Bennett Miller,"Independent Spirit Special Distinction Award,",NA,NA,NA
The Homesman,R 2014 ‧ Western/Drama ‧ 2h 3m,2014,Western/Drama,2h 3m,R,6.6,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,NA,2014 (USA),Director: Tommy Lee Jones,NA,NA,NA,NA
Saving Christmas,PG 2014 ‧ Comedy/Religious ‧ 1h 20m,2014,Comedy/Religious,1h 20m,PG,1.4,NA,NA,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,2.8 million USD,"November 14, 2014 (USA)",Director: Darren Doane,NA,NA,NA,NA
See results about,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Horrible Bosses 2,R 2014 ‧ Comedy/Crime ‧ 1h 48m,2014,Comedy/Crime,1h 48m,R,6.3,35,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,107.7 million USD,"November 26, 2014 (USA)",Director: Sean Anders,NA,NA,NA,NA
Penguins of Madagascar,PG 2014 ‧ Family/Adventure ‧ 1h 32m,2014,Family/Adventure,1h 32m,PG,6.7,73,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,373 million USD,"November 26, 2014 (USA)","Eric Darnell, Simon J. Smith",NA,NA,NA,NA
Wild,R 2014 ‧ Drama/Adventure ‧ 2 hours,2014,Drama/Adventure,2 hours,R,7.1,88,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,"December 5, 2014 (USA)",Director: Jean-Marc Vallée,NA,NA,NA,NA
Exodus: Gods and Kings,PG-13 2014 ‧ Adventure/Action ‧ 2h 30m,2014,Adventure/Action,2h 30m,PG-13,6,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,268.2 million USD,NA,Director: Ridley Scott,NA,NA,"Ridley Scott, Michael Schaefer, Mark Huffam, MORE",NA
Inherent Vice,R 2014 ‧ Mystery/Crime ‧ 2h 29m,2014,Mystery/Crime,2h 29m,R,6.7,73,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,"December 12, 2014 (USA)",Director: Paul Thomas Anderson,NA,NA,NA,NA
The Color of Time,R 2012 ‧ Drama/Romance ‧ 1h 13m,2012,Drama/Romance,1h 13m,R,4.3,5,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,"December 12, 2014 (USA)","Edna Luise Biesold, Tine Thomasen, MORE",NA,NA,"James Franco, Miles Levy, Edward Bass",NA
Top Five,R 2014 ‧ Comedy/Romance ‧ 1h 42m,2014,Comedy/Romance,1h 42m,R,6.4,85,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,26.1 million USD,NA,Director: Chris Rock,NA,NA,"Barry Diller, Scott Rudin, Eli Bush",NA
Goodbye to All That,NA,NA,NA,NA,NA,5.2,62,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,"December 17, 2014 (USA)",Director: Angus MacLachlan,Tribeca Film Festival Award for Best Actor in a Narrative Feature Film,NA,"Mindy Goldberg, Anne Carey",NA
Annie (2014),PG 2014 ‧ Musical/Family ‧ 1h 58m,2014,Musical/Family,1h 58m,PG,5.3,28,NA,NA,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,NA,"December 7, 2014 (USA)",Director: Will Gluck,NA,NA,"Will Smith, Jada Pinkett Smith, Jay-Z, Will Gluck, Caleeb Pinkett, Tyran Smith, James Lassiter, Jay Brown",NA
Night at the Museum: Secret of the Tomb,PG 2014 ‧ Adventure/Comedy ‧ 1h 38m,2014,Adventure/Comedy,1h 38m,PG,6.2,47,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,363.2 million USD,"December 11, 2014 (USA)",Director: Shawn Levy,NA,NA,NA,NA
Big Eyes,PG-13 2014 ‧ Drama/Crime ‧ 1h 46m,2014,Drama/Crime,1h 46m,PG-13,7,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,"December 25, 2014 (USA)",Director: Tim Burton,Golden Globe Award for Best Actress – Motion Picture – Musical or Comedy,NA,NA,NA
The Interview,R 2014 ‧ Comedy/Action ‧ 1h 52m,2014,Comedy/Action,1h 52m,R,6.5,51,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,12.3 million USD,NA,"Seth Rogen, Evan Goldberg",NA,NA,"Seth Rogen, Evan Goldberg, James Weaver",NA
Into The Woods,PG 2014 ‧ Musical/Fantasy ‧ 2h 5m,2014,Musical/Fantasy,2h 5m,PG,5.9,71,NA,NA,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,"December 25, 2014 (USA)",Director: Rob Marshall,"MTV Movie Award for Best Villain,",NA,NA,NA
Unbroken,PG-13 2014 ‧ War/Action ‧ 2h 17m,2014,War/Action,2h 17m,PG-13,7.2,51,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,NA,"December 25, 2014 (USA)",Director: Angelina Jolie,Screen Actors Guild Award for Outstanding Performance by a Stunt Ensemble in a Motion Picture,NA,NA,NA
Crawlspace,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,Director: Josh Stolberg,NA,NA,"Mike Karz, Jaime Burke",NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Table No. 21,NA,NA,NA,NA,NA,7.1,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,178 million INR,NA,Director: Aditya Datt,NA,NA,NA,NA
Texas Chainsaw 3D,R 2013 ‧ Horror/Slasher ‧ 1h 35m,2013,Horror/Slasher,1h 35m,R,4.8,19,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,47.2 million USD,NA,Director: John Luessenhop,NA,NA,"Carl Mazzocone, Christa Campbell",NA
The Grandmaster,PG-13 2013 ‧ Action/Drama ‧ 2h 2m,2013,Action/Drama,2h 2m,PG-13,6.6,78,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,"August 22, 2013 (USA)",Director: Wong Kar-wai,"Hong Kong Film Award for Best Action Choreography,",NA,NA,NA
The Baytown Outlaws,R 2012 ‧ Action/Comedy ‧ 1h 38m,2012,Action/Comedy,1h 38m,R,6.4,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,NA,93,NA,NA,Director: Barry Battles,NA,NA,"Bill Perkins, Robert Teitel",NA
Freeloaders,R 2011 ‧ Comedy ‧ 1h 17m,2011,Comedy,1h 17m,R,4.4,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,NA,67,NA,NA,Director: Dan Rosen,NA,NA,"Adam Duritz, Julia Dray, Gregory P. Cimino III, Thomas J. Gardner",NA
Gangster Squad,R 2013 ‧ Action/Crime ‧ 1h 53m,2013,Action/Crime,1h 53m,R,6.7,31,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,105.2 million USD,"January 7, 2013 (USA)",Director: Ruben Fleischer,NA,NA,NA,NA
A Haunted House,R 2013 ‧ Horror/Comedy ‧ 1h 26m,2013,Horror/Comedy,1h 26m,R,5,9,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,60.1 million USD,"January 11, 2013 (USA)",Director: Michael Tiddes,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matru Ki Bijlee Ka Mandola,NA,NA,NA,NA,NA,5.6,33,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,"311.5 million INR (US$4.4 million, Domestic gross)",NA,Director: Vishal Bhardwaj,NA,NA,"Vishal Bhardwaj, Kumar Mangat",NA
Struck by Lightning,NA,NA,NA,NA,NA,6.3,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,"28,378 USD","January 11, 2013 (USA)",Director: Brian Dannelly,NA,NA,NA,NA
Hansel & Gretel: Witch Hunters,R 2013 ‧ Horror/Action ‧ 1h 38m,2013,Horror/Action,1h 38m,R,6.1,16,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,226.3 million USD,"January 25, 2013 (USA)",Director: Tommy Wirkola,NA,NA,"Will Ferrell, Adam McKay, Kevin J. Messick, Beau Flynn, Tripp Vinson",50 million USD
Broken City,R 2013 ‧ Thriller/Drama ‧ 1h 49m,2013,Thriller/Drama,1h 49m,R,6.2,28,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81,34.7 million USD,NA,Director: Allen Hughes,NA,NA,"Mark Wahlberg, Allen Hughes, Randall Emmett, MORE",NA
The Last Stand,R 2013 ‧ Action/Western ‧ 1h 50m,2013,Action/Western,1h 50m,R,6.3,61,NA,NA,NA,NA,NA,NA,NA,3.7,NA,NA,NA,NA,NA,NA,NA,NA,89,48.3 million USD,NA,Director: Kim Jee-woon,NA,NA,NA,NA
LUV,R 2012 ‧ Drama/Crime ‧ 1h 36m,2012,Drama/Crime,1h 36m,R,6,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,NA,87,"156,996 USD","November 9, 2012 (USA)",Director: Sheldon Candis,NA,NA,"Common, Datari Turner, Jason Michael Berman, Gordon Bijelonic, Joel Newton, W. Michael Jenson, Derek Dudle",NA
Mama,PG-13 2013 ‧ Horror/Thriller ‧ 1h 40m,2013,Horror/Thriller,1h 40m,PG-13,6.2,63,NA,NA,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,NA,"January 18, 2013 (USA)",Director: Andrés Muschietti,NA,NA,"Guillermo del Toro, Barbara Muschietti, J. Miles Dale",NA
Officer Down,R 2012 ‧ Drama/Action ‧ 1h 39m,2012,Drama/Action,1h 39m,R,5.5,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,"1,463 USD (US)",NA,Director: Brian A. Miller,NA,NA,"Jeff Bozz, Mohammad Zahoor, Jeff Most, Jeff Rice, Jess Most",NA
Happy People: A Year in the Taiga,NA,NA,NA,NA,NA,7.8,88,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,"January 25, 2013 (New York)","Dmitry Vasyukov, Werner Herzog",NA,NA,"Christoph Fisser, Carl Woebcken, Nick N. Raslan, Vladimir Perepelkin, Yanko Damboulev",NA
John Dies at the End,R 2012 ‧ Horror/Sci-fi ‧ 1h 40m,2012,Horror/Sci-fi,1h 40m,R,6.4,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,NA,"January 25, 2013 (USA)",Director: Don Coscarelli,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Movie 43,R 2013 ‧ Comedy/Romance ‧ 1h 38m,2013,Comedy/Romance,1h 38m,R,4.3,4,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,32.4 million USD,"January 25, 2013 (USA)","Elizabeth Banks, James Gunn, Peter Farrelly, MORE",NA,NA,NA,NA
Parker,R 2013 ‧ Action/Thriller ‧ 1h 58m,2013,Action/Thriller,1h 58m,R,6.2,40,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,NA,"January 25, 2013 (USA)",Director: Taylor Hackford,NA,NA,NA,NA
Race 2,Not Rated 2013 ‧ Action/Thriller ‧ 2h 30m,NA,Action/Thriller,2h 30m,Not,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,NA,NA,87,1.6 billion INR,"January 25, 2013 (USA)","Mustan Burmawalla, Abbas Burmawalla",NA,NA,NA,NA
Supporting Characters,NA,NA,NA,NA,NA,6.3,86,NA,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4,917 USD",2012 (USA),Director: Daniel Schechter,NA,NA,"Tim Duff, Adam der Aris",NA
The Taste of Money,NA,NA,NA,NA,NA,5.7,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,"January 25, 2013 (USA)",Director: Im Sang-soo,NA,The Housemaid Series,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Haunting in Connecticut 2: Ghosts of Georgia,R 2013 ‧ Horror/Mystery ‧ 1h 40m,2013,Horror/Mystery,1h 40m,R,5.3,19,NA,NA,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,5.1 million USD,NA,Director: Tom Elkins,NA,The Haunting in Connecticut Series,NA,NA
Sound City,NA,NA,NA,NA,NA,7.8,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,"January 31, 2013 (Los Angeles)",Director: Dave Grohl,NA,NA,"Dave Grohl, John Ramsay, James A. Rota",NA
Stand Up Guys,R 2012 ‧ Crime/Comedy ‧ 1h 35m,2012,Crime/Comedy,1h 35m,R,6.5,36,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,5.073 million USD,"December 14, 2012 (USA)",Director: Fisher Stevens,NA,NA,NA,NA
Warm Bodies,PG-13 2013 ‧ Romance/Horror ‧ 1h 38m,2013,Romance/Horror,1h 38m,PG-13,6.8,81,NA,NA,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,117 million USD,"February 1, 2013 (USA)",Director: Jonathan Levine,NA,NA,NA,NA
A Glimpse Inside the Mind of Charles Swan III,R 2012 ‧ Comedy/Comedy-drama ‧ 1h 32m,2012,Comedy/Comedy-drama,1h 32m,R,4.8,16,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,"210,565 USD","February 8, 2013 (USA)",Director: Roman Coppola,NA,NA,NA,NA
I Give It a Year,R 2013 ‧ Romance/Comedy ‧ 1h 38m,2013,Romance/Comedy,1h 38m,R,5.7,51,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,28.2 million USD,"August 9, 2013 (USA)",Director: Dan Mazer,NA,NA,NA,NA
Identity Thief,R 2013 ‧ Comedy/Crime ‧ 1h 52m,2013,Comedy/Crime,1h 52m,R,5.7,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,174 million USD,"February 8, 2013 (USA)",Director: Seth Gordon,NA,NA,NA,NA
Side Effects,R 2013 ‧ Thriller/Drama ‧ 1h 46m,2013,Thriller/Drama,1h 46m,R,7.1,81,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,"February 8, 2013 (USA)",Director: Steven Soderbergh,NA,NA,"Scott Z. Burns, Gregory Jacobs, Lorenzo di Bonaventura",NA
Special 26,NA,NA,NA,NA,NA,8,88,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94,NA,NA,Director: Neeraj Pandey,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Journey to the West: Conquering the Demons,PG-13 2013 ‧ Fantasy/Comedy ‧ 1h 50m,2013,Fantasy/Comedy,1h 50m,PG-13,6.8,94,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,"March 7, 2014 (USA)","Stephen Chow, Derek Kwok",NA,Journey to the West series,NA,NA
Beautiful Creatures,PG-13 2013 ‧ Romance/Fantasy ‧ 2h 4m,2013,Romance/Fantasy,2h 4m,PG-13,6.1,47,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,60.1 million USD,"February 14, 2013 (USA)",Director: Richard LaGravenese,NA,NA,NA,NA
A Good Day to Die Hard,R 2013 ‧ Action/Thriller ‧ 1h 41m,2013,Action/Thriller,1h 41m,R,5.3,14,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,304.7 million USD,"February 13, 2013 (USA)",Director: John Moore,NA,Die Hard,NA,NA
